"","(Intercept)","scale(annual_precipitation)","scale(mean_temperature)","scale(Percent_of_forest_cover_1km)","scale(Human_modification_1km)","scale(Patch_density_1km)","scale(Edge_density_1km)","riverOriginoutsideGLGS","Regional_DivisionNorthwest","Regional_DivisionSouthwest","riverdy","riverlc","rivernu"
"81",1,-0.0911681089735482,-0.174750397787176,-0.233483931994191,0.175413495636691,-0.275273240974157,-0.353467621106095,1,0,1,1,0,0
"82",1,0.0864258753682624,-0.492719246450044,-0.377431702585342,0.742372549443688,-0.49969193217052,-0.386122776482828,1,0,1,1,0,0
"83",1,0.145623870148866,-0.74759899639058,0.692294614035458,-0.163355682910527,0.173566058381629,0.0819006460750089,1,0,1,1,0,0
"84",1,0.882907986961838,0.521752706277908,0.119328266919685,-0.228780974696249,2.40841326491157,0.930871739543579,1,0,1,1,0,0
"85",1,1.13584487375169,0.529323421228481,-1.29756999923348,0.370261890785375,-1.17295205752244,-0.952101174116449,1,0,1,1,0,0
"86",1,0.96901416118817,-0.608803085094271,0.923741555821909,-1.01350770625575,-0.0508547240471636,-0.462312310664975,0,0,1,1,0,0
"87",1,1.2434775915346,-0.146991254034416,1.06486459116423,-0.660744976371121,-1.39737066158412,-1.42012599548154,1,0,1,1,0,0
"88",1,1.79240445222747,1.1349782587519,1.03381709307016,-0.858198920896622,-0.724112714599312,-1.16978810532151,1,0,1,1,0,0
"89",1,1.21118777619973,0.239113740384948,0.935031275701079,-0.449138281971946,-0.0508547240471636,-0.603805161564311,1,0,1,1,0,0
"90",1,0.818328356292088,-0.401871028041497,-0.196793110813235,-0.44959465110923,-0.275273240974157,1.06148536701423,1,0,1,1,0,0
"91",1,0.985159068855607,0.562129708281643,-1.42458165315319,-0.387719486682147,1.74894665815165,1.05059914954928,1,0,1,1,0,0
"92",1,1.21656941208888,1.7986750276307,0.627377956303883,0.261380705218059,-0.94853131866099,-0.592922441117492,0,0,1,1,0,0
"93",1,1.17889796086486,1.83400493446718,0.819309341660546,-0.204561570712955,-1.17295205752244,-0.3208159627475,0,0,1,1,0,0
"94",1,0.96901416118817,1.22835002474407,0.971722096882036,-0.47524684191888,-1.17295205752244,-1.13713539785748,0,0,1,1,0,0
"95",1,0.990540704744753,0.337532697810613,0.985836552010037,-0.736316521534594,-0.49969193217052,-0.908566795311035,0,0,1,1,0,0
"96",1,1.13584487375169,1.81886350456601,0.951967392372527,-0.388648144810341,-0.94853131866099,-1.13713539785748,0,0,1,1,0,0
"97",1,1.02283052007963,1.41761722464486,0.960432377002866,-0.458992671366551,-0.0508547240471636,-0.647343037387862,0,0,1,1,0,0
